Title,Investigators,Investigator1,Investigator2,Investigator3,Investigator4,Investigator5,Investigator6,Investigator7,Investigator8,Investigator9,ContractPeriod,EndYear,FundingAgency,UW#,DNR#
A study of microbiological testing of well water quality in Door County and incidence of illness in humans,Braatz,Braatz,,,,,,,,,"7/1/2000 -
6/30/2001",2001,DNR,WR00R 020,159
An Improved Hydrogeologic Model for the Token Creek Watershed,"Jean Bahr,and Laura Parent, UW-Mad.",Jean Bahr, Laura Parent,,,,,,,,"07/01/99 -
06/30/01",2001,DNR,,160
Assessment of the Ability of Mound Sand (ASTM C-33) to Remove Micro- organisms in Column Experiments,"Jon Standridge, Jeremy Olstadt, William Sonzogni WSLH",Jon Standridge, Jeremy Olstadt, William Sonzogni ,,,,,,,"7/1/00 -
6/30/01",2001,DNR,,164
Remediation of Soil and Groundwater Using Effectively and Ineffectively Nodulated Alfalfa,"Nancy Turyk, Byron Shaw",Nancy Turyk, Byron Shaw,,,,,,,,"7/1/2000 -
6/30/2002",2002,UWS & DNR,WR00R 006,
Groundwater Modeling: Semi-Analytical Approaches for Heterogeneity and Reaction Networks,"Lin Li, Gerald R. Eykholt, Craig H. Benson; UW- Mad.",Lin Li, Gerald R. Eykholt, Craig H. Benson,,,,,,,"7/1/2000 -
6/30/2001",2001,UWS,WR00R 014,
Importance of Groundwater in Productions and Transport of Methyl Mercury in Lake Superior Tributaries,"R.W. Stoor, David Armstrong, et al",R.W. Stoor, David Armstrong,,,,,,,,"7/1/2000 -
6/30/2002",2002,UWS & USGS B,WR00R 003,
A Basin-Scale Denitrification Budget for a Nitrate Contaminated Wisconsin Aquifer:  A Study at the Groundwater/Surface Water Interface,"Bryant Browne, George Kraft",Bryant Browne, George Kraft,,,,,,,,"7/1/2000 -
6/30/2002",2002,UWS & USGS B,WR00R 004,
The Spatial and Temporal Variability of Groundwater Recharge,"Weston Dripps, Mary Anderson, Kenneth Potter",Weston Dripps, Mary Anderson, Kenneth Potter,,,,,,,"7/1/2000 -
6/30/2001",2001,UWS,WR00R 008,
Removal of As(III) and As(V) in Contaminated Groundwater with Thin- Film Microporous Oxide Adsorbents,Marc Anderson,Marc Anderson,,,,,,,,,"7/1/2000 -
6/30/2002",2002,UWS,WR00R 005,
Effect of Clean and Polluted Groundwater on Daphnia Reproduction and Development,Stanley Dodson,Stanley Dodson,,,,,,,,,"7/1/2000 -
6/30/2001",2001,UWS,WR00R 007,
Pesticide and nitrate leaching in soils receiving manure,"Lowery, Arriaga, Stoltenberg",Lowery, Arriaga, Stoltenberg,,,,,,,"7/1/2000 -
6/30/2001",2001,DATCP,WR00R 010,
Screening of agricultural and lawn care pesticides for developmental toxicity using the mouse embryo assay,Greenlee,Greenlee,,,,,,,,,"7/1/2000 -
6/30/2001",2001,DATCP,WR00R 012,
"Effectiveness of phytoremediation and hydrogeologic response at an agricultural chemical facility in Bancroft, WI","DeVita, Dawson",DeVita, Dawson,,,,,,,,"7/1/2000 -
6/30/2002",2002,DATCP,WR00R 016,
Evaluation of pathogen and nitrogen movement beneath on-site systems receiving domestic effluent from single pass sand filters,Converse,Converse,,,,,,,,,"7/1/2000 -
6/30/2001",2001,Comm,WR00R 017,
Susceptibility of La Crosse municipal wells to enteric virus contamination from surface water contributions,"Hunt, Borchardt",Hunt, Borchardt,,,,,,,,"3/1/2001 -
6/30/2002",2002,DNR,WR01R 021,165
Preservation and survival of E. coli in well water samples submitted for routine analyses,"Sonzogni, Standridge, Bussen",Sonzogni, Standridge, Bussen,,,,,,,,,DNR,WR01R 016,166
Development of a culture method for detection of Helicobacter pylori in groundwater,"Sonzogni, Standridge, Degnan",Sonzogni, Standridge, Degnan,,,,,,,,,DNR,WR01R 015,167
Monitoring contaminant flux from a stormwater infiltration facility to groundwater,"Dunning, Bannerman",Dunning, Bannerman,,,,,,,,"7/1/2001 -
6/30/2003",2003,DNR,WR01R 023,168
Occurrence of antibiotics in wastewater effluents and their mobility in soils. A case study for Wisconsin,"Karthikeyan, Bleam",Karthikeyan, Bleam,,,,,,,,"7/1/2001 -
6/30/2003",2003,DATCP/DNR,WR01R 020,169
Delineation of High Salinity Conditions in the Cambro-Ordovician Aquifer of Eastern Wisconsin,"Tim Grundl, and Lori
Schmidt, UW – Mil.",Tim Grundl, and Lori,,,,,,,,"7/1/2001 -
6/30/2002",2002,DNR,WR01R 022,170
"Nitrate loading history, fate, and origin for two WI groundwater basins","Kraft , Browne, DeVita, Mechenich",Kraft , Browne, DeVita, Mechenich,,,,,,"7/1/2001 -
6/30/2003",2003,DNR,WR01R 019,171
Importance of disinfection on arsenic release from wells,"Sonzogni, Bowman Standridge, Clary",Sonzogni, Bowman Standridge, Clary,,,,,,,"7/1/2001 -
6/30/2003",2003,DNR,WR01R 017,172
Time domain electromagnetic induction survey of the sandstone aquifer in the Lake Winnebago area,"Taylor, Jansen",Taylor, Jansen,,,,,,,,01/00/00,2000,DNR,WR01R 014,173
"Microfabricated, Low-Power, Inorganic, Water Quality Sensor Based on Direct Current Argon Plasma Emission Spectroscopy","Anderson, Gianchandani",Anderson, Gianchandani,,,,,,,,,,,WR01R 011,
Field Evaluation of Rain Gardens as a Method for Enhancing Groundwater Recharge,Kenneth Potter,Kenneth Potter,,,,,,,,,"7/1/2001 -
6/30/2002",2002,UWS,WR01R 002,
Investigation of Changing Hydrologic Conditions of the Coon Creek Watershed in the Driftless Area of Wisconsin,Randy Hunt,Randy Hunt,,,,,,,,,"7/1/2001 -
6/30/2002",2002,UWS,WR01R 003,
"Groundwater-Lake Interaction: Response to Climate Change in Vilas County, Wisconsin",Mary Anderson,Mary Anderson,,,,,,,,,"7/1/2001 -
6/30/2002",2002,UWS,WR01R 004,
Impacts of Land Use and Groundwater Flow on the Temperature of Wisconsin Trout Streams,Stephen Gaffield,Stephen Gaffield,,,,,,,,,"7/1/2001 -
6/30/2003",2003,UWS,WR01R 005,
"Impacts of Privately Sewered Subdivisions on Groundwater Quality in Dane County, Wisconsin",Kenneth Bradbury,Kenneth Bradbury,,,,,,,,,"7/1/2001 -
6/30/2003",2003,UWS,WR01R 006,
Removal of Heavy Metals and Radionuclides from Soils Using Cationic Surfactant Flushing,"Christine Evans, Zhaohui Li",Christine Evans, Zhaohui Li,,,,,,,,"7/1/2001 -
6/30/2003",2003,UWS & USGS B,WR01R 007,
Removal of Arsenic in Groundwater Using Novel Mesoporous Sorbent,Jae Park,Jae Park,,,,,,,,,"7/1/2001 -
6/30/2003",2003,UWS,WR01R 008,
Co-occurrence and Removal of Arsenic and Iron in Groundwater,Paul McGinley,Paul McGinley,,,,,,,,,"7/1/2001 -
6/30/2003",2003,UWS,WR01R 009,
Monitoring and Scaling of Water Quality in the Tomorrow-Waupaca Watershed,"Bryant Browne (Henry Lin was also a PI, but he left USTP)",Bryant Browne,henry lin,,,,,,,,"7/1/2001 -
6/30/2003",2003,UWS,WR01R 010,
Chloroacetanilide and atrazine residue penetration and accumulation in two Wisconsin groundwater basins,"DeVita, McGinley, Kraft",DeVita, McGinley, Kraft,,,,,,,"7/1/2001 -
6/30/2003",2003,DATCP,WR01R 011,
"Agrochemical leaching from sub- optimal, optimal, and excessive manure- N fertilization of corn agroecosystems","Norman, Brye",Norman, Brye,,,,,,,,"7/1/2001 -
6/30/2003",2003,DATCP,WR01R 018,
Arsenic Contamination in Southeast Wisconsin:  Sources of Arsenic and Mechanisms of Arsenic Release,"Jean Bahr, Madeline Gotkowitz, Tara Root",Jean Bahr, Madeline Gotkowitz, Tara Root,,,,,,,"7/1/2002 -
6/30/2004",2004,UWS & DNR,WR02R 003,174
Evaluation of Enzyme Linked Immunosorbent Assay for Analysis of Di Amino Atrazine in Wisconsin Groundwater in Comparison to Chromatography,"John Strauss, William Sonzogni",John Strauss, William Sonzogni,,,,,,,,"7/1/2002 -
6/30/2003",2003,DNR,WR02R 008,175
An Experimental and Mathematical Study of the Alpha-Particle Activity of Wisconsin Ground Waters with High Gross Alpha,"Sonzogni, Arndt, West",Sonzogni, Arndt, West,,,,,,,"7/1/2002 -
6/30/2003",2003,DNR,WR02R 009,176
Determination of Aquitard and Crystalline Bedrock Depth Using Time Domain Electromagnetics,"David Hart, David Alumbaugh",David Hart, David Alumbaugh,,,,,,,,"7/1/2002 -
6/30/2003",2003,UWS & USGS B,WR02R 006,
F Test for Natural Attenuation in Groundwater:  Application on Benzene,Fe Evangelista,Fe Evangelista,,,,,,,,,"7/1/2002 -
6/30/2003",2003,UWS,WR02R 004,
Photocatalytic Adsorption Media and Processes for Enhanced Removal of Arsenic from Groundwaters,Marc Anderson,Marc Anderson,,,,,,,,,"7/1/2002 -
6/30/2003",2003,UWS,WR02R 005,
Monitoring the Effectiveness of Phytoremediation and Hydrogeologic Response at an Agricultural Chemical Facility,William DeVita,William DeVita,,,,,,,,,"7/1/2002 -
6/30/2004",2004,UWS & USGS B,WR02R 001,
Role of the Hyporheic Zone in Methylmercury Production and Transport to Lake Superior,David Armstrong,David Armstrong,,,,,,,,,"7/1/2002 -
6/30/2004",2004,UWS & USGS B,WR02R 002,
Susceptibility of La Crosse municipal wells to enteric virus contamination from surface water contributions (continued from project 165),"Hunt, Borchardt",Hunt, Borchardt,,,,,,,,"7/1/2002 -
6/30/2003",2003,DNR,WR01R 021,177
Monitoring and predictive modeling of subdivision impacts on groundwater in Wisconsin,"Bradbury, Bahr",Bradbury, Bahr,,,,,,,,"7/1/2003 -
6/30/2005",2005,DNR,WR03R 012,178
Field and Laboratory Validation of Photoactivated Adsorption for Removal of Arsenic in Groundwaters,Anderson (Marc),Anderson (Marc),,,,,,,,,"7/1/2003 -
6/30/2004",2004,DNR,WR03R 014,179
"Development of a groundwater flow model for the Mukwonago River watershed, southeastern Wisconsin",Bahr,Bahr,,,,,,,,,"7/1/2003 -
6/30/2005",2005,DNR,WR03R 013,180
Groundwater Pollutant Transfer and Export in Northern Mississippi Loess Hills Watersheds,"Kraft, Masarik, Browne",Kraft, Masarik, Browne,,,,,,,"7/1/2003 -
6/30/2005",2005,DNR,WR03R 011,181
Design and Evaluation of Rain Gardens for Enhancement of Groundwater Recharge,Kenneth Potter,Kenneth Potter,,,,,,,,,"7/1/2003 -
6/30/2005",2005,UWS,WR03R 001,
Evaluation of Contamination of Groundwater around Landfills,"Tuncer Edil, Craig Benson and Jack Connelly",Tuncer Edil, Craig Benson , Jack Connelly,,,,,,,"7/1/2003 -
6/30/2005",2005,UWS,WR03R 006,
"Fate Of Representative Fluoroquinolone, Macrolide, Sulfonamide And Tetracycline Antibiotics In Subsurface Environments",K.G. Karthikeyan and Joel Pedersen,K.G. Karthikeyan, Joel Pedersen,,,,,,,,"7/1/2003 -
6/30/2005",2005,UWS,WR03R 008,
"Coupled Modeling of Gravity and Aeromagnetic Data For Analysis of the Waukesha Fault, Southeastern Wisconsin",John Skalbeck,John Skalbeck,,,,,,,,,"7/1/2003 -
6/30/2004",2004,UWS,WR03R 003,
"What happens when the confined Cambrian-Ordovician aquifer in SE Wisconsin is ""dewatered""?",Timothy Eaton,Timothy Eaton,,,,,,,,,"7/1/2003 -
6/30/2004",2004,UWS,WR03R 004,
An Assessment of Aquifer Storage Recovery for Selected Generic Hydrogeologic Settings in Wisconsin,Mary Anderson,Mary Anderson,,,,,,,,,"7/1/2003 -
6/30/2004",2004,UWS,WR03R 005,
Combination of Surfactant Solubilization with Permanganate Oxidation for Groundwater Remediation,Zhaohui Li,Zhaohui Li,,,,,,,,,"7/1/2003 -
6/30/2005",2005,UWS,WR03R 009,
"A Combined Hydrogeologic/Geochemical Investigation of Groundwater Conditions in the Waukesha County Area, WI","Timothy Grundl, Kenneth Bradbury, Daniel Feinstein and David J. Hart",Timothy Grundl, Kenneth Bradbury, Daniel Feinstein , David J. Hart,,,,,,"7/1/2003 -
6/30/2005",2005,UWS,WR03R 002,
Providing Communities with the Groundwater Information Needed for Comprehensive Planning.,Douglas Cherkauer,Douglas Cherkauer,,,,,,,,,"7/1/2003 -
6/30/2005",2005,UWS & USGS B,WR03R 007,
"Water Isotope Analyses of Community Wells in Support of EPA-funded Project: ""Community-Randomized Intervention Trial with UV-disinfection for Estimating the Risk of Pediatric Illness from Municipal Groundwater Consumption""","Mark Borchardt Marshfieold Medical Clinic, Randy Hunt USGS",Mark Borchardt , Randy Hunt ,,,,,,,,"6/1/04 -
10/15/04",2004,DNR,0,182
Occurrence of Estrogenic Endocrine Disruptors in Groundwater,"William Sonzogni, Jocelyn Hemming, Miel Barman and Steven Geis",William Sonzogni, Jocelyn Hemming, Miel Barman ,Steven Geis,,,,,,"7/1/2004 -
6/30/2006",2006,UWS,WR04R 004,
Development of Tools to Address Groundwater in Comprehensive Planning,"Lynn Markham, Charles Dunning and Chin-Chun Tang",Lynn Markham, Charles Dunning,Chin-Chun Tang,,,,,,,"7/1/2004 -
6/30/2005",2005,UWS,WR04R 005,
Mercury Speciation along a Groundwater Flowpath,David Armstrong and Christopher L. Babiarz,David Armstrong , Christopher L. Babiarz,,,,,,,,"7/1/2004 -
6/30/2006",2006,UWS,WR04R 001,
"Delineation of Flow Paths, Capture Zones and Source Areas, Allequash Basin, Vilas County, Wisconsin",Mary Anderson,Mary Anderson,,,,,,,,,"7/1/2004 -
6/30/2005",2005,UWS,WR04R 002,
Hydrostratigraphy of West-Central Wisconsin:  A New Approach to Groundwater Management,David L. LePain and Kenneth R. Bradbury,David L. LePain , Kenneth R. Bradbury,,,,,,,,"7/1/2004 -
6/30/2005",2005,UWS,WR04R 006,
Monitoring Environmental Effects at an Established Phytoremediation Site,William M. DeVita and Mark Dawson,William M. DeVita , Mark Dawson,,,,,,,,"7/1/2004 -
6/30/2006",2006,UWS,WR04R 007,
Foundry Slag for Treating Arsenic in Groundwater and Drinking Water,Craig H. Benson and David W. Blowes,Craig H. Benson, David W. Blowes,,,,,,,,"7/1/2004 -
6/30/2006",2006,UWS,WR04R 008,
A Comparison of USEPA-Approved Enzyme-Based Total Coliform/E. coli Tests for Microbiological Groundwater Monitoring and Laboratory Consultation,"James Schauer, Jeremy Olstadt, Jon Standridge and Sharon Kluender",James Schauer, Jeremy Olstadt, Jon Standridge, Sharon Kluender,,,,,,"7/1/2004 -
6/30/2005",2005,UWS,WR04R 003,
Mapping and Characterization of Springs in Brown and Calumet Counties,"Fermanich, Stieglitz, Zorn",Fermanich, Stieglitz, Zorn,,,,,,,"7/1/2006 -
6/30/2007",2007,DNR,WR05R 012,183
Identification and characterization of springs in west-central Wisconsin,Grote,Grote,,,,,,,,,"7/1/2006 -
6/30/2007",2007,DNR,WR05R 011,184
Assessing the Ecological Status and Vulnerability of Springs in Wisconsin,"Susan Swanson, Kenneth Bradbury, David Hart",Susan Swanson, Kenneth Bradbury, David Hart,,,,,,,"7/1/2005 -
6/30/2007",2007,UWS,WR05R 004,185
A Survey of Baseflow for Groundwater Protection Areas Western Fox-Wolf Watershed,Kraft,Kraft,,,,,,,,,"7/1/2006 -
6/30/2008",2008,DNR,WR05R 014,186
Evaluating drinking-well vulnerability to viruses,"Hunt, Borchardt",Hunt, Borchardt,,,,,,,,"7/1/2006 -
6/30/2008",2008,DNR,WR05R 010,187
Disinfection of Enteric Viruses in Wisconsin Municipal Groundwater Systems,"Harrington, Borchardt, Xagoraraki",Harrington, Borchardt, Xagoraraki,,,,,,,"7/1/2006 -
6/30/2008",2008,DNR,WR05R 009,188
Groundwater Mounding and Contaminant Transport Beneath Stormwater Infiltration Basins,Thompson,Thompson,,,,,,,,,"7/1/2006 -
6/30/2008",2008,DNR,WR05R 013,189
Centralizing Access to Groundwater Information for Use in Comprehensive Planning,"Markham, Tang, Dunning",Markham, Tang, Dunning,,,,,,,"7/1/2006 -
6/30/2008",2008,DNR,WR05R 015,190
Mechanisms of Groundwater Flow across Aquitards,"Hart, Bradbury, Feinstein and Yikoff",Hart, Bradbury, Feinstein ,Yikoff,,,,,,"7/1/2006 -
6/30/2007",2007,DNR,WR05R 016,191
Validation of Transport of VOCs from Composite Liners,"Tuncer Edil, Craig Benson,",Tuncer Edil, Craig Benson,,,,,,,,"7/1/2005 -
6/30/2007",2007,UWS,WR05R 008,
"Arsenic Species (III,V) Distribution in Wisconsin Groundwaters: Field Measurements and Prediction Using Multivariate Analysis of Geochemical Data Prediction Using Multivariate Analysis of Geochemical Data","Martin Shafer, Kristie Ellickson, James Schauer",Martin Shafer, Kristie Ellickson, James Schauer,,,,,,,"7/1/2005 -
6/30/2007",2007,UWS & USGS B,WR05R 001,
Measuring and Modeling Macroporous Soil Water and Solute Flux Below the Root Zone of a Plano Silt-Loam Soil,"Birl Lowery, John Norman, Brian Lepore",Birl Lowery, John Norman, Brian Lepore,,,,,,,"7/1/2005 -
6/30/2007",2007,UWS,WR05R 002,
Nitrate and Pesticide Penetration into a Northern Mississippi Valley Loess Hills Aquifer,"George Kraft, Bryant Browne",George Kraft, Bryant Browne,,,,,,,,"7/1/2005 -
6/30/2007",2007,UWS & USGS B,WR05R 003,
Climate Signals in Groundwater and Surface Water System: Spectral Analysis of Hydrologic Processes,Hector Bravo,Hector Bravo,,,,,,,,,"7/1/2005 -
6/30/2007",2007,UWS,WR05R 005,
Evaluation of On-Site Wastewater Treatment as a Source of Antibiotic Resistance Genes in Groundwater,Katherine McMahon,Katherine McMahon,,,,,,,,,"7/1/2005 -
6/30/2006",2006,UWS,WR05R 006,
"Transient Functioning of a Groundwater Wetland Complex, Allequash basin, Wisconsin",Mary Anderson,Mary Anderson,,,,,,,,,"7/1/2005 -
6/30/2007",2007,UWS,WR05R 007,
Mineral transformation and release of arsenic to solution under the oxidizing conditions of well disinfection,"Gotkowitz, Roden, Schreiber, Shelobolina",Gotkowitz, Roden, Schreiber, Shelobolina,,,,,,"7/1/2006-
6/30/2007",2007,DNR,,192
"Precambrian Basement Surface Estimation using Coupled 3D Modeling of Gravity and Aeromagnetic Data in Fond du Lac County and Southeastern, Wisconsin",Skalbeck,Skalbeck,,,,,,,,,"7/1/2006-
6/30/2008",2008,DNR,,193
"Groundwater recharge through a thick sequence of fine-grained sediment in the Fox River Valley, east-central Wisconsin","Hooyer, Hart, Bradbury, Mickelson",Hooyer, Hart, Bradbury, Mickelson,,,,,,"7/1/2006-
6/30/2007",2007,DNR,,194
Use of Human and Bovine Adenovirus for Fecal Source Tracking,"Pedersen, McMahon, Kluender",Pedersen, McMahon, Kluender,,,,,,,"7/1/2006-
6/30/2008",2008,DNR,,195
Knowledge Development for Groundwater Withdrawal Management around the Little Plover River,Clancy and Kraft,Clancy , Kraft,,,,,,,,"7/1/2006-
6/30/2008",2008,DNR,,196
"Multi-Parameter, Remote Groundwater Monitoring with Referencing Using Crossed Optical Fiber Fluorescent Sensor Arrays",Peter Geissinger,Peter Geissinger,,,,,,,,,"7/1/2006 -
6/30/2008",2008,UWS,WR06R 001,
Enhanced Reductive Dechlorination of Chlorinated Aliphatic Hydrocarbons: Molecular and Biochemical Analyses,William Hickey,William Hickey,,,,,,,,,"7/1/2006 -
6/30/2008",2008,UWS & USGS B,WR06R 002,
"Application of LSQR to Calibration of a Regional MODFLOW Model: Trout Lake Basin, Wisconsin","Mary Anderson, Haijiang Zhang",Mary Anderson, Haijiang Zhang,,,,,,,,"7/1/2006 -
6/30/2007",2007,UWS,WR06R 003,
Assessment of virus presence and potential virus pathways in deep municipal wells,"Bradbury , Gotkowitz, Borchardt and Hunt",Bradbury , Gotkowitz, Borchardt ,hunt,,,,,,"7/1/2007-
6/30/2008",2008,DNR,,197
Assessing Seasonal Variations in Recharge and Water Quality in the Silurian Aquifer in Areas with Thicker Soil Cover,Muldoon and Bradbury,Muldoon , Bradbury,,,,,,,,"7/1/2007-
6/30/2008",2008,DNR,,198
"Hydrostratigraphy and Groundwater Flow Model: Troy Valley Glacial Aquifer, Southern Waukesha Co., WI",Mickelson and Anderson,Mickelson , Anderson,,,,,,,,"7/1/2007-
6/30/2008",2008,DNR,,199
"Investigating groundwater recharge to the Cambrian-Ordovician aquifer through fine-grained glacial deposits in the Fox River Valley, Wisconsin","Hooyer, Hart, Mickelson and Bradbury",Hooyer, Hart, Mickelson, Bradbury,,,,,,"7/1/2007-
6/30/2008",2008,DNR,,200
Water Balance Modeling for Irrigated and Natural Landscapes in Central Wisconsin,Lowery and Bland,Lowery , Bland,,,,,,,,"7/1/2007-
6/30/2009",2009,DNR,,201
Understanding the Effects of Groundwater Pumping on Lake Levels,"Kraft, Clancy and Mechenich",Kraft, Clancy , Mechenich,,,,,,,"7/1/2007-
6/30/2009",2009,DNR,,202
Assessing the Potential of Hormones from Agricultural Waste to Contaminate Groundwater,"Hemming, Landreman and Hedman",Hemming, Landreman ,hedman,,,,,,,"7/1/2007-
6/30/2009",2009,DNR,,203
Transport and Survival of Pathogenic Bacteria Associated With Dairy Manure in Soil and Groundwater,"Jin Li, Ching-Hong Yang",Jin Li, Ching-Hong Yang,,,,,,,,"7/1/2007 -
6/30/2009",2009,UWS,WR07R 001,
Is Phosphorus-Enriched Groundwater Entering Wisconsin Streams?,Bryant Browne,Bryant Browne,,,,,,,,,"7/1/2007 -
6/30/2009",2009,UWS,WR07R 002,
Occurrence and Generation of Nitrite in Ground and Surface Waters in an Agricultural Watershed,Emily Stanley,Emily Stanley,,,,,,,,,"7/1/2007 -
6/30/2009",2009,UWS,WR07R 003,
Geochemical Characterization of Sulfide Mineralization in Eastern Wisconsin Carbonate Rocks,"John Luczaj, Michael McIntire",John Luczaj, Michael McIntire,,,,,,,,"7/1/2007 -
6/30/2009",2009,UWS,WR07R 004,
A Thermal Remote Sensing Tool for Mapping Spring and Diffuse Groundwater Discharge to Streams,Steven Loheide,Steven Loheide,,,,,,,,,"7/1/2007 -
6/30/2009",2009,UWS,WR07R 005,
Monitoring Septic Effluent Transport and Attenuation using Geophysical Methods,"Dante Fratta, David Hart",Dante Fratta, David Hart,,,,,,,,"7/1/2007 -
6/30/2009",2009,UWS,WR07R 006,
Influence of Wetland Hydrodynamics on Subsurface Microbial Redox Transformations of Nitrate and Iron,"Jean Bahr, Eric Roden",Jean Bahr, Eric Roden,,,,,,,,"7/1/2007 -
6/30/2009",2009,UWS,WR07R 007,
Controls on Methylation of Groundwater Hg(II) in Hyporheic Zones of Wetlands,"Martin Shafer, Chris Babiarz",Martin Shafer, Chris Babiarz,,,,,,,,"7/1/2007 -
6/30/2009",2009,UWS,WR07R 008,
"Drawdown in the Northeast Groundwater Management Area (Brown, Outagamie, and Calumet Counties, WI)",Luczaj and Hart,Luczaj and Hart,,,,,,,,,"7/1/2008 –
6/30/2009",2009,DNR,,204
Human viruses as tracers of wastewater pathways into deep municipal wells,"Bradbury, Borchardt, and Gotkowitz",Bradbury, Borchardt,  Gotkowitz,,,,,,,"7/1/2008-
12/31/2009",2009,DNR,,205
Development and Validation of a PCR- based Quantification Method for Rhodococcus coprophilus,Long and Kluender,Long and Kluender,,,,,,,,,"7/1/2008 –
6/30/2009",2009,DNR,,206
"Groundwater Sustainability in a Humid Climate: Groundwater Pumping, Groundwater Consumption and Land Use Change",Madeline Gotkowitz,Madeline Gotkowitz,,,,,,,,,,,UWS,WR04R 009,
Assessing Levels and Potential Health Effects of Endocrine Disrupting Chemicals in Groundwater Associated with Karst Areas in Northeast Wisconsin,"Bauer-Dantoin, Fermanich, Zorn, UW – Green Bay",Bauer-Dantoin, Fermanich, Zorn,,,,,,,"7/1/2008 –
6/30/2009",2009,UWS,WR08R 004,
The lethal and sublethal effects of elevated groundwater nitrate concentrations on infaunal invertebrates in the Central Sand Plains,"Stelzer, Eggert, and Muldoon, UW - Oshkosh",Stelzer, Eggert,  Muldoon,,,,,,,"7/1/2008 –
6/30/2010",2010,UWS,WR08R 003,
Use of the 2009 Behavioral Risk Factor Surveillance Survey to Assess the Safety of Private Drinking Water Supplies,"Knobeloch, DHS",Knobeloch,,,,,,,,,"7/1/2008 –
6/30/2010",2010,UWS,WR08R 001,
Combination of Co-Precipitation with Zeolite Filtration to Remove Arsenic from Contaminated Water,"Li, UW - Parkside",Li,,,,,,,,,"7/1/2009 –
6/30/2010",2010,UWS,WR08R 002,
Fecal Source Tracking Using Human and Bovine Adenovirus and Polyomaviruses,"Pedersen, McMahon, Long",Pedersen, McMahon, Long,,,,,,,"7/1/2009 –
6/30/2011",2011,UWS,WR09R 002,
Predicting Mercury Methylation: Testing the Neutral Sulfide Speciation Model in a Groundwater-Dominated Wetland,Shafer,Shafer,,,,,,,,,"7/1/2009 –
6/30/2011",2011,UWS,WR09R 003,
Assessing the Effect of Pleistocene Glaciation on the Water Supply of Eastern Wisconsin,"Grundl, UW-Mil",Grundl,,,,,,,,,"7/1/2009 –
6/30/2010",2010,UWS,WR09R 004,
Forecasting Impacts of Extreme Precipitation Events on Wisconsin’s Groundwater Levels,"Gotkowitz, WGNHS",Gotkowitz,,,,,,,,,"7/1/2009 –
6/30/2010",2010,UWS,WR09R 005,
DTS as a Hydrostratigraphic Characterization Tool,"Bahr, Hart,  UW-Mad",Bahr, Hart,,,,,,,,"7/1/2009 –
6/30/2010",2010,UWS,WR09R 006,
From sand bags to sanity: Lessons from the Midwest floods of 2008,D. Moynihan,D. Moynihan,,,,,,,,,"3/1/2009 –
2/28/2010",2010,UWS/ USGS,WR09R 001,
Opportunities for Reducing Water Use by Wisconsin Golf Courses,"D. Soldat, J. Stier",D. Soldat, J. Stier,,,,,,,,"7/1/2010 -
6/30/2012",2012,DNR,,207
Information Support for groundwater Management in the Wisconsin Central Sands,"G. Kraft, D. Mechenich",G. Kraft, D. Mechenich,,,,,,,,"7/1/2010 -
6/30/2012",2012,DNR,,208
Groundwater Recharge Characteristics and Subsurface Nutrient Dynamics Under Alternate Biofuel Cropping Systems in Wisconsin,"A. Thompson, UW-Mad;
K.J. Karthikeyan;  R. Jackson",A. Thompson,,,,,,,,,"7/1/2010 –
6/30/2012",2012,UWS,WR10R 003,
Groundwater nitrate processing in deep stream sediments,R. Stelzer UW-Osh; Bartsch,R. Stelzer UW-Osh, Bartsch,,,,,,,,"7/1/2010 –
6/30/2011",2011,UWS,WR10R 005,
Reducing nitrate in groundwater with slow-release fertilizer,"Ruark UW-Mad, Lowery, Buckley",Ruark UW-Mad, Lowery, Buckley,,,,,,,"7/1/2010 –
6/30/2012",2012,UWS,WR10R 004,
Influence of Adsorbed Antibiotics on Water Quality and Soil Microbes,"Li UW-Parkside, McWilliams",Li UW-Parkside, McWilliams,,,,,,,,"7/1/2010 –
6/30/2012",2012,,WR10R 006,
"Transport of manure-derived, tetracycline resistant Escherichia coli in unsaturated soil",Xu UW-Mil,Xu ,,,,,,,,,"7/1/2010 –
6/30/2012",2012,,WR10R 007,
Development of a User-Friendly Interface for Predicting Climate Change Induced Changes in Evapo-transpiration,"S. Loheide, UW-Mad",S. Loheide,,,,,,,,,"3/1/2010 –
2/28/2011",2011,,WR10R 001,
Ecological Limits of Hydrologic Alteration in Wisconsin Streams,"M. Diebel, DNR; J. Stewart, USGS",M. Diebel,, J. Stewart,,,,,,,"10/1/2011 -
3/31/2013",2013,DNR,,209
Validation of a qPCR Assay for E. coli in Drinking and Recreational Waters,S. Long UW-SLH,S. Long UW-SLH,,,,,,,,,"7/1/2011 -
6/30/2013",2013,DNR,,210
Response of Ice Cover Lake Level and Thermal Structure to Climate Change in Wisconsin Lakes,C. Wu UW-Mad,C. Wu UW-Mad,,,,,,,,,"3/1/2010 –
2/28/2011",2011,USGS**,WR10R 002,
Silage Leachate: Waste Quality Assessment and Treatment,"R. Larson, J. Panuska UW- Mad",R. Larson, J. Panuska ,,,,,,,,"7/1/2011 -
6/30/2013",2013,UWS,WR11R 007,
